halite_1.out: 243.81
halite_3.out: 3.02
halite_5.out: 1.23
halite_7.out: 1.09
halite_9.out: 1.12
halite_11.out: 1.13
16.0000 80.0000 -5324.43
26.0000 130.0000 -865.62
36.0000 180.0000 -268.16
46.0000 230.0000 -8.96
56.0000 280.0000 4.31
66.0000 330.0000 0.93
76.0000 380.0000 4.39
86.0000 430.0000 7.11
90.0000 180.0000 9.11
90.0000 270.0000 7.88
90.0000 360.0000 7.43
90.0000 450.0000 7.56
90.0000 540.0000 7.70
90.0000 630.0000 7.48
90.0000 720.0000 7.65
90.0000 810.0000 7.52
90.0000 900.0000 7.61
96.0000 480.0000 7.84
106.0000 530.0000 8.04
116.0000 580.0000 7.83
126.0000 630.0000 7.68
136.0000 680.0000 7.96
146.0000 730.0000 8.16
156.0000 780.0000 8.08
166.0000 830.0000 8.05
176.0000 880.0000 8.08
186.0000 930.0000 8.08
196.0000 980.0000 8.06
206.0000 1030.0000 8.06
90.0000 180.0000 9.11
90.0000 270.0000 7.88
90.0000 360.0000 7.43
90.0000 450.0000 7.56
90.0000 540.0000 7.70
90.0000 630.0000 7.48
90.0000 720.0000 7.65
90.0000 810.0000 7.52
90.0000 900.0000 7.61
